user_id,comment_text,comment_time,collect_time,article_url
春哥简历优化,分享一个3万字的简历优化避雷清单，需要的滴滴（特别适合应届生 转行人员 失业人员）,02-16广东,2025-03-16 18:39:06,https://www.xiaohongshu.com/explore/67ab1d310000000018010fbe?xsec_token=AB3Q9W_qh0RUI2UFPwiCLcWnGDJB0t5rGjqxK487C6-c8=&xsec_source=pc_search&source=web_explore_feed
momo,他让我隐瞒或者写个假的年龄,02-15浙江,2025-03-16 18:39:06,https://www.xiaohongshu.com/explore/67ab1d310000000018010fbe?xsec_token=AB3Q9W_qh0RUI2UFPwiCLcWnGDJB0t5rGjqxK487C6-c8=&xsec_source=pc_search&source=web_explore_feed
ᅠᅠ,它吹得我都不敢改,5 天前内蒙古,2025-03-16 18:39:06,https://www.xiaohongshu.com/explore/67ab1d310000000018010fbe?xsec_token=AB3Q9W_qh0RUI2UFPwiCLcWnGDJB0t5rGjqxK487C6-c8=&xsec_source=pc_search&source=web_explore_feed
三次方,你觉得这好用吗？别说预测了，连时间都跟不上……,02-25广东,2025-03-16 18:39:06,https://www.xiaohongshu.com/explore/67ab1d310000000018010fbe?xsec_token=AB3Q9W_qh0RUI2UFPwiCLcWnGDJB0t5rGjqxK487C6-c8=&xsec_source=pc_search&source=web_explore_feed
陈晓竹粉丝团,给所有的求职者一个警告，私有企业的老板看中的是真材实料，简历写的天花乱坠，反而会使老板觉得你不诚实，如果你有实力的话，就展示给老板。,02-14,2025-03-16 18:39:06,https://www.xiaohongshu.com/explore/67ab1d310000000018010fbe?xsec_token=AB3Q9W_qh0RUI2UFPwiCLcWnGDJB0t5rGjqxK487C6-c8=&xsec_source=pc_search&source=web_explore_feed
西卡,我觉得deepseek没有豆包好用，真的，甚至连kimi都不如,02-14广东,2025-03-16 18:39:06,https://www.xiaohongshu.com/explore/67ab1d310000000018010fbe?xsec_token=AB3Q9W_qh0RUI2UFPwiCLcWnGDJB0t5rGjqxK487C6-c8=&xsec_source=pc_search&source=web_explore_feed
泡面公主,简历怎么上传 找不到入口诶,02-17广东,2025-03-16 18:39:06,https://www.xiaohongshu.com/explore/67ab1d310000000018010fbe?xsec_token=AB3Q9W_qh0RUI2UFPwiCLcWnGDJB0t5rGjqxK487C6-c8=&xsec_source=pc_search&source=web_explore_feed
imomo（许嵩见过版）,今天试了一下感觉DS改的好夸张,02-12,2025-03-16 18:39:06,https://www.xiaohongshu.com/explore/67ab1d310000000018010fbe?xsec_token=AB3Q9W_qh0RUI2UFPwiCLcWnGDJB0t5rGjqxK487C6-c8=&xsec_source=pc_search&source=web_explore_feed
蝴蝶狗狗,@迟敏 还可以这样。。真是天才，，，,02-12,2025-03-16 18:39:06,https://www.xiaohongshu.com/explore/67ab1d310000000018010fbe?xsec_token=AB3Q9W_qh0RUI2UFPwiCLcWnGDJB0t5rGjqxK487C6-c8=&xsec_source=pc_search&source=web_explore_feed
Shawn.,这么多收藏居然没人评论,02-12,2025-03-16 18:39:06,https://www.xiaohongshu.com/explore/67ab1d310000000018010fbe?xsec_token=AB3Q9W_qh0RUI2UFPwiCLcWnGDJB0t5rGjqxK487C6-c8=&xsec_source=pc_search&source=web_explore_feed
用户382017331,他帮我写的都很离谱,02-05,2025-03-16 18:39:28,https://www.xiaohongshu.com/explore/679b5be900000000290353ea?xsec_token=ABDb6Cj6YYDVzecuNFPjxJ2d1zJNJwXfZDmmNgFXNfTDI=&xsec_source=pc_search&source=web_explore_feed
猪打鸽,DeepSeek改简历，然后扔给职升机AI，好用,02-06,2025-03-16 18:39:28,https://www.xiaohongshu.com/explore/679b5be900000000290353ea?xsec_token=ABDb6Cj6YYDVzecuNFPjxJ2d1zJNJwXfZDmmNgFXNfTDI=&xsec_source=pc_search&source=web_explore_feed
