user_id,comment_text,comment_time,collect_time,article_url
记得浪漫,啊啊啊集合！我先学同担的！,02-27福建,2025-03-15 18:40:28,https://www.xiaohongshu.com/explore/67b6fec6000000002901b44c?xsec_token=ABgBP6kJeDBDth_4PLZjgXj38BjhlC1JKhUYvp5tX4T9Y=&xsec_source=pc_search&source=web_explore_feed
是欣欣呀,为什么我生成出来的提示词全是英文的呀，而且字数太多没法全部复制到即梦里面,3 天前吉林,2025-03-15 18:40:28,https://www.xiaohongshu.com/explore/67b6fec6000000002901b44c?xsec_token=ABgBP6kJeDBDth_4PLZjgXj38BjhlC1JKhUYvp5tX4T9Y=&xsec_source=pc_search&source=web_explore_feed
上饶师范-沙娃🗽,"((最佳质量))、(超细节)、8K分辨率、皮克斯风格的人物设计， [主要场景]:海绵宝宝带着海星五彩纸屑向观众跳跃，动感十足的姿势(背景是菠萝屋，窗户是克莱恩蓝色)，向日葵黄色渐变的比基尼底部珊瑚礁充满活力。 [配色方案]:PANTONE 12-0643 TSX(向日葵黄)占主导地位前景，PANTONE 18-3948 TCX(克莱因蓝)背景，互补色对比， [光照]:人物身上的地下散射，海洋表面的体积光，漂浮的生物发光粒子， [排版]:3D挤压标题""海绵宝宝的海洋派对""漂浮在头顶，漫画风格的演讲泡泡""有史以来最美好的一天!""在右下角， [特效]:水波纹扭曲、肥皂泡反射、沙状纹理叠加",03-05江西,2025-03-15 18:40:28,https://www.xiaohongshu.com/explore/67b6fec6000000002901b44c?xsec_token=ABgBP6kJeDBDth_4PLZjgXj38BjhlC1JKhUYvp5tX4T9Y=&xsec_source=pc_search&source=web_explore_feed
桂花奶乌去冰三分🥕,学废了,02-20江苏,2025-03-15 18:40:28,https://www.xiaohongshu.com/explore/67b6fec6000000002901b44c?xsec_token=ABgBP6kJeDBDth_4PLZjgXj38BjhlC1JKhUYvp5tX4T9Y=&xsec_source=pc_search&source=web_explore_feed
牧～,这个软件收费吗,03-05湖南,2025-03-15 18:40:28,https://www.xiaohongshu.com/explore/67b6fec6000000002901b44c?xsec_token=ABgBP6kJeDBDth_4PLZjgXj38BjhlC1JKhUYvp5tX4T9Y=&xsec_source=pc_search&source=web_explore_feed
翌夏,学习了,02-20江苏,2025-03-15 18:40:28,https://www.xiaohongshu.com/explore/67b6fec6000000002901b44c?xsec_token=ABgBP6kJeDBDth_4PLZjgXj38BjhlC1JKhUYvp5tX4T9Y=&xsec_source=pc_search&source=web_explore_feed
strawberry,这样是怎么回事啊,03-07浙江,2025-03-15 18:40:28,https://www.xiaohongshu.com/explore/67b6fec6000000002901b44c?xsec_token=ABgBP6kJeDBDth_4PLZjgXj38BjhlC1JKhUYvp5tX4T9Y=&xsec_source=pc_search&source=web_explore_feed
丝瓜瓜吖🥕,正好需要做海报 果然刷到不是没有原因的 集合,03-02广东,2025-03-15 18:40:28,https://www.xiaohongshu.com/explore/67b6fec6000000002901b44c?xsec_token=ABgBP6kJeDBDth_4PLZjgXj38BjhlC1JKhUYvp5tX4T9Y=&xsec_source=pc_search&source=web_explore_feed
yo,为什么输入的就是中文、英文，但还是提示只支持中文、英文？,03-07上海,2025-03-15 18:40:28,https://www.xiaohongshu.com/explore/67b6fec6000000002901b44c?xsec_token=ABgBP6kJeDBDth_4PLZjgXj38BjhlC1JKhUYvp5tX4T9Y=&xsec_source=pc_search&source=web_explore_feed
yqyjqmx,只能用电脑做吗,03-04广西,2025-03-15 18:40:29,https://www.xiaohongshu.com/explore/67b6fec6000000002901b44c?xsec_token=ABgBP6kJeDBDth_4PLZjgXj38BjhlC1JKhUYvp5tX4T9Y=&xsec_source=pc_search&source=web_explore_feed
code秘密花园,后续已发,02-25北京,2025-03-15 18:41:12,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
潇洒,用API 还是本地搭建好？,02-24广东,2025-03-15 18:41:12,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
钱先生,我是做短剧的，想收几个徒弟 1.可以是新手小白，但是要爱学习。 2.年龄19岁以上 3.扣666集合,03-06河北,2025-03-15 18:41:12,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
野兽良民,光一个数据集准备普通爱好者就搞不定了,02-27安徽,2025-03-15 18:41:12,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
阿杈,笔记本电脑可以部署吗,5 天前广东,2025-03-15 18:41:12,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
booler,能把算命的微调给我吗？,5 天前辽宁,2025-03-15 18:41:12,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
仓促的夏天,小红书都给我推微调了这东西门槛到底高不高呢？家里一个4090d，能玩些什么级别的节目？,03-03北京,2025-03-15 18:41:12,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
SR,感谢🙏,5 天前广东,2025-03-15 18:41:12,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
钉钉,微调的实际对象是个啥？,6 天前福建,2025-03-15 18:41:12,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
🐮🐮,难的是准备所需领域的数据集,02-24澳大利亚,2025-03-15 18:41:12,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
小红薯661B958F,联想电脑自带的本地大模型小天怎么样？,02-28浙江,2025-03-15 18:41:14,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
苏Sev,,03-04四川,2025-03-15 18:41:14,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
yuan,讲的太好了，我已经重复听好几遍了，很期待你的更新。,02-27山东,2025-03-15 18:41:14,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
随影流心,催更,02-25湖北,2025-03-15 18:41:14,https://www.xiaohongshu.com/explore/67bb2c18000000000e004564?xsec_token=ABiqRqFOHGPjan_4GuX5xao9NxjYdgsK9v07Kqzygp5D4=&xsec_source=pc_search&source=web_explore_feed
